team1,team2,venue,toss_winner,toss_decision,winner,date
New Zealand,Australia,Eden Park,Australia,bat,Australia,2005-02-17
England,Australia,The Rose Bowl,England,bat,England,2005-06-13
South Africa,New Zealand,New Wanderers Stadium,New Zealand,field,New Zealand,2005-10-21
Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,Australia,2006-01-09
South Africa,Australia,New Wanderers Stadium,South Africa,bat,South Africa,2006-02-24
England,Sri Lanka,The Rose Bowl,Sri Lanka,bat,Sri Lanka,2006-06-15
England,Pakistan,County Ground,England,bat,Pakistan,2006-08-28
South Africa,India,New Wanderers Stadium,South Africa,bat,India,2006-12-01
New Zealand,Sri Lanka,Westpac Stadium,New Zealand,bat,Sri Lanka,2006-12-22
New Zealand,Sri Lanka,Eden Park,New Zealand,field,New Zealand,2006-12-26
Australia,England,Sydney Cricket Ground,Australia,bat,Australia,2007-01-09
England,West Indies,Kennington Oval,West Indies,bat,West Indies,2007-06-28
England,West Indies,Kennington Oval,West Indies,bat,England,2007-06-29
Kenya,Bangladesh,Gymkhana Club Ground,Bangladesh,field,Bangladesh,2007-09-01
Bangladesh,Pakistan,Gymkhana Club Ground,Bangladesh,field,Pakistan,2007-09-02
Kenya,Pakistan,Gymkhana Club Ground,Kenya,bat,Pakistan,2007-09-04
South Africa,West Indies,New Wanderers Stadium,South Africa,field,South Africa,2007-09-11
Kenya,New Zealand,Kingsmead,New Zealand,field,New Zealand,2007-09-12
Australia,Zimbabwe,Newlands,Australia,bat,Zimbabwe,2007-09-12
Pakistan,Scotland,Kingsmead,Scotland,field,Pakistan,2007-09-12
Bangladesh,West Indies,New Wanderers Stadium,Bangladesh,field,Bangladesh,2007-09-13
England,Zimbabwe,Newlands,England,bat,England,2007-09-13
Kenya,Sri Lanka,New Wanderers Stadium,Kenya,field,Sri Lanka,2007-09-14
Australia,England,Newlands,England,bat,Australia,2007-09-14
New Zealand,Sri Lanka,New Wanderers Stadium,New Zealand,bat,Sri Lanka,2007-09-15
South Africa,Bangladesh,Newlands,South Africa,field,South Africa,2007-09-15
South Africa,England,Newlands,England,field,South Africa,2007-09-16
India,New Zealand,New Wanderers Stadium,India,field,New Zealand,2007-09-16
Australia,Bangladesh,Newlands,Australia,field,Australia,2007-09-16
Pakistan,Sri Lanka,New Wanderers Stadium,Sri Lanka,field,Pakistan,2007-09-17
England,New Zealand,Kingsmead,England,field,New Zealand,2007-09-18
Australia,Pakistan,New Wanderers Stadium,Pakistan,field,Pakistan,2007-09-18
Bangladesh,Sri Lanka,New Wanderers Stadium,Bangladesh,field,Sri Lanka,2007-09-18
South Africa,New Zealand,Kingsmead,South Africa,field,South Africa,2007-09-19
England,India,Kingsmead,India,bat,India,2007-09-19
Australia,Sri Lanka,Newlands,Australia,field,Australia,2007-09-20
Bangladesh,Pakistan,Newlands,Pakistan,field,Pakistan,2007-09-20
South Africa,India,Kingsmead,India,bat,India,2007-09-20
New Zealand,Pakistan,Newlands,New Zealand,bat,Pakistan,2007-09-22
Australia,India,Kingsmead,India,bat,India,2007-09-22
India,Pakistan,New Wanderers Stadium,India,bat,India,2007-09-24
India,Australia,Brabourne Stadium,Australia,bat,India,2007-10-20
South Africa,New Zealand,New Wanderers Stadium,South Africa,field,South Africa,2007-11-23
Australia,New Zealand,Western Australia Cricket Association Ground,Australia,bat,Australia,2007-12-11
South Africa,West Indies,St George's Park,West Indies,field,West Indies,2007-12-16
South Africa,West Indies,New Wanderers Stadium,South Africa,field,South Africa,2008-01-18
Australia,India,Melbourne Cricket Ground,India,bat,Australia,2008-02-01
New Zealand,England,Eden Park,New Zealand,field,England,2008-02-05
New Zealand,England,Jade Stadium,England,bat,England,2008-02-07
Pakistan,Bangladesh,National Stadium,Pakistan,bat,Pakistan,2008-04-20
England,New Zealand,Old Trafford,England,field,England,2008-06-13
West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,field,West Indies,2008-06-20
Bermuda,Scotland,"Civil Service Cricket Club, Stormont",Scotland,field,Scotland,2008-08-03
Netherlands,Scotland,"Civil Service Cricket Club, Stormont",Netherlands,field,Netherlands,2008-08-04
Ireland,Kenya,"Civil Service Cricket Club, Stormont",Ireland,field,Ireland,2008-08-04
Pakistan,Sri Lanka,Maple Leaf North-West Ground,Pakistan,field,Pakistan,2008-10-11
Pakistan,Sri Lanka,Maple Leaf North-West Ground,Sri Lanka,field,Sri Lanka,2008-10-13
South Africa,Bangladesh,New Wanderers Stadium,Bangladesh,field,South Africa,2008-11-05
New Zealand,West Indies,Seddon Park,New Zealand,bat,New Zealand,2008-12-28
Australia,South Africa,Melbourne Cricket Ground,Australia,bat,Australia,2009-01-11
Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",South Africa,bat,Australia,2009-01-13
Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,India,2009-02-10
Australia,New Zealand,Sydney Cricket Ground,Australia,bat,Australia,2009-02-15
New Zealand,India,AMI Stadium,New Zealand,field,New Zealand,2009-02-25
New Zealand,India,Westpac Stadium,New Zealand,field,New Zealand,2009-02-27
West Indies,England,"Queen's Park Oval, Port of Spain",West Indies,field,West Indies,2009-03-15
South Africa,Australia,New Wanderers Stadium,South Africa,field,South Africa,2009-03-27
South Africa,Australia,SuperSport Park,Australia,field,South Africa,2009-03-29
Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Pakistan,2009-05-07
England,Netherlands,Lord's,Netherlands,field,Netherlands,2009-06-05
New Zealand,Scotland,Kennington Oval,New Zealand,field,New Zealand,2009-06-06
Australia,West Indies,Kennington Oval,Australia,bat,West Indies,2009-06-06
Bangladesh,India,Trent Bridge,India,bat,India,2009-06-06
Scotland,South Africa,Kennington Oval,Scotland,field,South Africa,2009-06-07
England,Pakistan,Kennington Oval,Pakistan,field,England,2009-06-07
Australia,Sri Lanka,Trent Bridge,Sri Lanka,field,Sri Lanka,2009-06-08
Bangladesh,Ireland,Trent Bridge,Ireland,field,Ireland,2009-06-08
Netherlands,Pakistan,Lord's,Pakistan,bat,Pakistan,2009-06-09
New Zealand,South Africa,Lord's,New Zealand,field,South Africa,2009-06-09
