team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
New Zealand,Australia,Eden Park,Australia,1,Australia,2005-02-17,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,1
England,Australia,The Rose Bowl,England,1,England,2005-06-13,0,0.0,0,1,1.0,1,0,0,0,0.0,0,0.0,1,0
South Africa,New Zealand,New Wanderers Stadium,New Zealand,0,New Zealand,2005-10-21,0,0.0,0,1,0.0,0,0,0,0,0.0,0,0.0,0,1                                                                                                                                                             
Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",Australia,1,Australia,2006-01-09,2,0.5,1,1,0.0,0,0,0,0,0.0,0,0.0,1,0
South Africa,Australia,New Wanderers Stadium,South Africa,1,South Africa,2006-02-24,2,0.0,0,3,0.6666666666666666,2,0,1,1,0.0,0,0.0,1,0
England,Sri Lanka,The Rose Bowl,Sri Lanka,1,Sri Lanka,2006-06-15,1,1.0,1,0,0.0,0,0,0,1,1.0,0,0.0,0,1
England,Pakistan,County Ground,England,1,Pakistan,2006-08-28,2,0.5,1,0,0.0,0,0,0,0,0.0,0,0.0,1,0
South Africa,India,New Wanderers Stadium,South Africa,1,India,2006-12-01,3,0.3333333333333333,1,0,0.0,0,0,0,2,0.5,0,0.0,1,0
New Zealand,Sri Lanka,Westpac Stadium,New Zealand,1,Sri Lanka,2006-12-22,2,0.5,1,1,1.0,1,0,0,0,0.0,0,0.0,1,0                                                                                                                                                                                                                  
New Zealand,Sri Lanka,Eden Park,New Zealand,0,New Zealand,2006-12-26,3,0.3333333333333333,1,2,1.0,2,0,1,1,0.0,0,0.0,1,0
Australia,England,Sydney Cricket Ground,Australia,1,Australia,2007-01-09,4,0.5,2,3,0.3333333333333333,1,0,1,0,0.0,0,0.0,1,0
England,West Indies,Kennington Oval,West Indies,1,West Indies,2007-06-28,4,0.25,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1
England,West Indies,Kennington Oval,West Indies,1,England,2007-06-29,5,0.2,1,1,1.0,1,0,1,1,0.0,1,1.0,0,1
Kenya,Bangladesh,Gymkhana Club Ground,Bangladesh,0,Bangladesh,2007-09-01,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,1
Bangladesh,Pakistan,Gymkhana Club Ground,Bangladesh,0,Pakistan,2007-09-02,1,1.0,1,1,1.0,1,0,0,1,1.0,0,0.0,1,0
Kenya,Pakistan,Gymkhana Club Ground,Kenya,1,Pakistan,2007-09-04,1,0.0,0,2,1.0,2,0,0,1,0.0,1,1.0,1,0
South Africa,West Indies,New Wanderers Stadium,South Africa,0,South Africa,2007-09-11,4,0.25,1,2,0.5,1,0,0,3,0.3333333333333333,0,0.0,1,0
Kenya,New Zealand,Kingsmead,New Zealand,0,New Zealand,2007-09-12,2,0.0,0,4,0.5,2,0,0,0,0.0,0,0.0,0,1
Australia,Zimbabwe,Newlands,Australia,1,Zimbabwe,2007-09-12,5,0.6,3,0,0.0,0,0,0,0,0.0,0,0.0,1,0
Pakistan,Scotland,Kingsmead,Scotland,0,Pakistan,2007-09-12,3,1.0,3,0,0.0,0,0,0,0,0.0,0,0.0,0,1
Bangladesh,West Indies,New Wanderers Stadium,Bangladesh,0,Bangladesh,2007-09-13,2,0.5,1,3,0.3333333333333333,1,0,0,0,0.0,1,0.0,1,0
England,Zimbabwe,Newlands,England,1,England,2007-09-13,6,0.3333333333333333,1,1,1.0,1,0,0,0,0.0,1,1.0,1,0
Kenya,Sri Lanka,New Wanderers Stadium,Kenya,0,Sri Lanka,2007-09-14,3,0.0,0,3,0.6666666666666666,2,0,0,0,0.0,0,0.0,1,0
Australia,England,Newlands,England,1,Australia,2007-09-14,6,0.5,2,7,0.42857142857142855,2,1,1,1,0.0,1,1.0,0,1
New Zealand,Sri Lanka,New Wanderers Stadium,New Zealand,1,Sri Lanka,2007-09-15,5,0.6,3,4,0.75,3,1,1,1,1.0,1,1.0,1,0
South Africa,Bangladesh,Newlands,South Africa,0,South Africa,2007-09-15,5,0.4,2,3,0.6666666666666666,2,0,0,0,0.0,0,0.0,1,0
South Africa,England,Newlands,England,0,South Africa,2007-09-16,6,0.5,3,8,0.375,2,0,0,1,1.0,2,0.5,0,1
India,New Zealand,New Wanderers Stadium,India,0,New Zealand,2007-09-16,1,1.0,1,6,0.5,3,0,0,1,1.0,2,0.5,1,0
Australia,Bangladesh,Newlands,Australia,0,Australia,2007-09-16,7,0.5714285714285714,3,4,0.5,2,0,0,2,0.5,1,0.0,1,0
Pakistan,Sri Lanka,New Wanderers Stadium,Sri Lanka,0,Pakistan,2007-09-17,4,1.0,4,5,0.8,4,0,0,0,0.0,2,1.0,0,1
England,New Zealand,Kingsmead,England,0,New Zealand,2007-09-18,9,0.3333333333333333,2,7,0.5714285714285714,3,0,0,0,0.0,1,1.0,1,0
Australia,Pakistan,New Wanderers Stadium,Pakistan,0,Pakistan,2007-09-18,8,0.625,3,5,1.0,5,0,0,1,0.0,1,1.0,0,1
Bangladesh,Sri Lanka,New Wanderers Stadium,Bangladesh,0,Sri Lanka,2007-09-18,5,0.4,2,6,0.6666666666666666,3,0,0,1,1.0,3,0.6666666666666666,1,0
South Africa,New Zealand,Kingsmead,South Africa,0,South Africa,2007-09-19,7,0.5714285714285714,4,8,0.625,4,0,1,0,0.0,2,1.0,1,0
England,India,Kingsmead,India,1,India,2007-09-19,10,0.3,2,2,0.5,1,0,0,1,0.0,0,0.0,0,1
Australia,Sri Lanka,Newlands,Australia,0,Australia,2007-09-20,9,0.5555555555555556,3,7,0.7142857142857143,3,0,0,3,0.6666666666666666,0,0.0,1,0
Bangladesh,Pakistan,Newlands,Pakistan,0,Pakistan,2007-09-20,6,0.3333333333333333,1,6,1.0,5,0,1,2,0.0,0,0.0,0,1
South Africa,India,Kingsmead,India,1,India,2007-09-20,8,0.625,4,3,0.6666666666666666,2,0,1,1,1.0,1,1.0,0,1
New Zealand,Pakistan,Newlands,New Zealand,1,Pakistan,2007-09-22,9,0.5555555555555556,3,7,1.0,5,0,0,0,0.0,1,1.0,1,0
Australia,India,Kingsmead,India,1,India,2007-09-22,10,0.6,3,4,0.75,3,0,0,0,0.0,2,1.0,0,1
India,Pakistan,New Wanderers Stadium,India,1,India,2007-09-24,5,0.8,4,8,1.0,5,0,0,2,0.5,2,1.0,1,0
India,Australia,Brabourne Stadium,Australia,1,India,2007-10-20,6,0.8333333333333334,4,11,0.5454545454545454,3,1,0,0,0.0,0,0.0,0,1
South Africa,New Zealand,New Wanderers Stadium,South Africa,0,South Africa,2007-11-23,9,0.5555555555555556,4,10,0.5,2,1,1,4,0.5,3,0.6666666666666666,1,0
Australia,New Zealand,Western Australia Cricket Association Ground,Australia,1,Australia,2007-12-11,12,0.5,2,11,0.45454545454545453,2,1,0,0,0.0,0,0.0,1,0
South Africa,West Indies,St George's Park,West Indies,0,West Indies,2007-12-16,10,0.6,4,4,0.25,1,1,0,0,0.0,0,0.0,0,1
South Africa,West Indies,New Wanderers Stadium,South Africa,0,South Africa,2008-01-18,11,0.5454545454545454,3,5,0.4,2,1,1,5,0.6,2,0.0,1,0
Australia,India,Melbourne Cricket Ground,India,1,Australia,2008-02-01,13,0.5384615384615384,2,7,0.8571428571428571,5,0,2,0,0.0,0,0.0,0,1
New Zealand,England,Eden Park,New Zealand,0,England,2008-02-05,12,0.4166666666666667,1,11,0.2727272727272727,1,1,0,2,0.5,0,0.0,1,0
New Zealand,England,Jade Stadium,England,1,England,2008-02-07,13,0.38461538461538464,0,12,0.3333333333333333,1,1,1,0,0.0,0,0.0,0,1
Pakistan,Bangladesh,National Stadium,Pakistan,1,Pakistan,2008-04-20,9,0.8888888888888888,4,7,0.2857142857142857,1,2,0,0,0.0,0,0.0,1,0
England,New Zealand,Old Trafford,England,0,England,2008-06-13,13,0.38461538461538464,2,14,0.35714285714285715,0,2,1,0,0.0,0,0.0,1,0
West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,0,West Indies,2008-06-20,6,0.3333333333333333,1,14,0.5714285714285714,3,0,0,0,0.0,0,0.0,1,0
Bermuda,Scotland,"Civil Service Cricket Club, Stormont",Scotland,0,Scotland,2008-08-03,0,0.0,0,1,0.0,0,0,0,0,0.0,0,0.0,0,1
Netherlands,Scotland,"Civil Service Cricket Club, Stormont",Netherlands,0,Netherlands,2008-08-04,0,0.0,0,2,0.5,1,0,0,0,0.0,1,1.0,1,0
Ireland,Kenya,"Civil Service Cricket Club, Stormont",Ireland,0,Ireland,2008-08-04,0,0.0,0,4,0.0,0,0,0,0,0.0,0,0.0,1,0
Pakistan,Sri Lanka,Maple Leaf North-West Ground,Pakistan,0,Pakistan,2008-10-11,10,0.9,4,8,0.625,3,1,0,0,0.0,0,0.0,1,0
